Timestamp (us),X (g),Y (g),Z (g)
336367608,0.151516,-0.032179,1.418855
336387691,0.151287,-0.032167,1.444414
336407775,0.178041,-0.006557,1.419296
336427859,0.151516,-0.032179,1.418855
336447942,0.178275,0.019314,1.419326
336468025,0.177573,-0.058297,1.419237
336488109,0.151751,-0.006309,1.418885
336508192,0.125924,0.019797,1.392945
336528276,0.151516,-0.032179,1.418855
336548359,0.151282,-0.058050,1.418826
336568443,0.151985,0.019561,1.418915
336588526,0.151746,-0.032192,1.393297
336608610,0.204097,-0.032675,1.419678
336628694,0.177577,-0.032414,1.444825
336648778,0.177807,-0.032427,1.419267
336668861,0.151980,-0.006321,1.393326
336688945,0.151521,-0.006296,1.444444
336709029,0.177577,-0.032414,1.444825
336729113,0.177807,-0.032427,1.419267
336749197,0.203863,-0.058545,1.419648
336769281,0.151746,-0.032192,1.393297
336789366,0.151053,-0.058037,1.444384
336809450,0.177577,-0.032414,1.444825
336829535,0.151746,-0.032192,1.393296
336849620,0.178271,-0.006569,1.393738
336869705,0.151751,-0.006309,1.418885
336889789,0.152214,0.019549,1.393356
336909874,0.151516,-0.032179,1.418855
336929959,0.151516,-0.032179,1.418855
336950043,0.178275,0.019314,1.419326
336970128,0.178036,-0.032440,1.393708
336990212,0.177802,-0.058310,1.393678
337010297,0.204561,-0.006817,1.394149
337030381,0.177573,-0.058297,1.419237
337050466,0.125221,-0.057815,1.392856
337070551,0.178041,-0.006557,1.419296
337090636,0.151516,-0.032179,1.418855
337110720,0.152210,-0.006334,1.367768
337130805,0.151976,-0.032204,1.367738
337150890,0.150589,-0.083895,1.469913
337170974,0.177807,-0.032427,1.419267
337191059,0.151751,-0.006309,1.418885
337211143,0.151751,-0.006309,1.418885
337231227,0.177582,-0.006531,1.470414
337251312,0.203863,-0.058545,1.419648
337271396,0.151746,-0.032192,1.393297
337291481,0.151980,-0.006321,1.393326
337311565,0.125455,-0.031944,1.392885
337331650,0.203872,-0.006779,1.470825
337351734,0.151526,0.019587,1.470032
337371818,0.178041,-0.006557,1.419296
337391903,0.178041,-0.006557,1.419296
337411987,0.151048,-0.083920,1.418796
337432071,0.125690,-0.006074,1.392915
337452155,0.151751,-0.006309,1.418885
337472240,0.151751,-0.006309,1.418885
337492324,0.151282,-0.058050,1.418826
337512408,0.177807,-0.032427,1.419267
337532492,0.178510,0.045184,1.419356
337552575,0.151980,-0.006321,1.393326
337572658,0.178036,-0.032440,1.393708
337592742,0.151751,-0.006309,1.418885
337612826,0.151755,0.019574,1.444474
337632909,0.178271,-0.006569,1.393738
337652993,0.151746,-0.032192,1.393297
337673077,0.151751,-0.006309,1.418885
337693161,0.203872,-0.006779,1.470825
337713245,0.178505,0.019301,1.393767
337733329,0.178041,-0.006557,1.419296
337753413,0.151521,-0.006296,1.444444
337773498,0.177348,-0.032402,1.470384
337793582,0.151516,-0.032179,1.418855
337813665,0.152214,0.019549,1.393356
337833749,0.151751,-0.006309,1.418885
337853833,0.178036,-0.032440,1.393708
337873917,0.178275,0.019314,1.419326
337894002,0.151751,-0.006309,1.418885
337914086,0.205030,0.044924,1.394208
337934171,0.125226,-0.031932,1.418444
337954255,0.151746,-0.032192,1.393297
337974339,0.178041,-0.006557,1.419296
337994423,0.204566,0.019066,1.419737
338014508,0.177807,-0.032427,1.419267
338034593,0.178046,0.019326,1.444885
338054677,0.177577,-0.032414,1.444825
338074761,0.151746,-0.032192,1.393297
338094846,0.151287,-0.032167,1.444414
338114930,0.151282,-0.058050,1.418826
338135014,0.177812,-0.006544,1.444855
338155098,0.151755,0.019574,1.444474
338175183,0.151980,-0.006321,1.393326
338195267,0.152205,-0.032217,1.342179
338215351,0.151291,-0.006284,1.470003
338235434,0.151053,-0.058037,1.444384
338255518,0.152214,0.019549,1.393356
338275602,0.178036,-0.032440,1.393708
338295686,0.151751,-0.006309,1.418885
338315771,0.204566,0.019066,1.419737
338335854,0.178505,0.019301,1.393767
338355939,0.178271,-0.006569,1.393738
338376023,0.151291,-0.006284,1.470003
338396108,0.151990,0.045444,1.444503
338416192,0.178275,0.019314,1.419326
338436276,0.177812,-0.006544,1.444855
338456361,0.151512,-0.058062,1.393267
338476445,0.178275,0.019314,1.419326
338496530,0.151985,0.019561,1.418915
338516615,0.178046,0.019326,1.444885
338536699,0.151980,-0.006321,1.393326
338556784,0.177798,-0.084193,1.368090
338576868,0.178036,-0.032440,1.393708
338596952,0.177807,-0.032427,1.419267
338617036,0.178271,-0.006569,1.393738
338637120,0.151287,-0.032167,1.444414
338657204,0.178271,-0.006569,1.393738
338677288,0.151516,-0.032179,1.418855
338697371,0.178271,-0.006569,1.393738
338717455,0.151287,-0.032167,1.444414
338737539,0.178275,0.019314,1.419326
338757623,0.152210,-0.006334,1.367768
338777707,0.151985,0.019561,1.418915
338797791,0.151287,-0.032167,1.444414
338817875,0.177807,-0.032427,1.419267
338837959,0.177338,-0.084168,1.419207
338858043,0.151751,-0.006309,1.418885
338878128,0.152210,-0.006334,1.367768
338898212,0.178505,0.019301,1.393767
338918296,0.178041,-0.006557,1.419296
338938380,0.125460,-0.006061,1.418474
338958464,0.177802,-0.058310,1.393678
338978548,0.151282,-0.058050,1.418826
338998632,0.178041,-0.006557,1.419296
339018715,0.151755,0.019574,1.444474
339038800,0.152449,0.045419,1.393386
339058884,0.125460,-0.006061,1.418474
339078969,0.151751,-0.006309,1.418885
339099054,0.177807,-0.032427,1.419267
339119139,0.151282,-0.058050,1.418826
339139224,0.151512,-0.058062,1.393267
339159308,0.151282,-0.058050,1.418826
339179392,0.151980,-0.006321,1.393326
339199476,0.151282,-0.058050,1.418826
339219560,0.178271,-0.006569,1.393738
339239643,0.178275,0.019314,1.419326
339259726,0.151980,-0.006321,1.393326
339279809,0.151053,-0.058037,1.444384
339299892,0.203643,-0.006766,1.496384
339319974,0.151512,-0.058062,1.393267
339340057,0.151746,-0.032192,1.393297
