Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
336374146,0.049865,0.025779,-0.010712,-0.024654,0.010043,0.999621
336394189,-0.087250,0.033205,0.059983,-0.022993,0.006689,1.002131
336414231,0.088268,-0.081259,0.003955,-0.019346,0.007721,1.001777
336434273,-0.072680,0.132683,-0.024554,-0.020303,0.008776,0.997754
336454315,0.020335,-0.089198,0.112120,-0.023687,0.007944,0.999927
336474357,-0.004152,0.033391,-0.056292,-0.026115,0.009150,0.999077
336494400,0.042301,0.002654,0.004513,-0.027373,0.009611,0.998154
336514442,0.041383,0.025693,-0.095073,-0.026119,0.008692,0.998719
336534484,-0.056765,-0.043299,0.074787,-0.024218,0.008673,0.999459
336554526,-0.034164,-0.058413,0.028376,-0.022574,0.008720,0.997831
336574569,-0.156157,-0.058456,0.052786,-0.020685,0.007978,0.998854
336594611,0.034640,-0.035075,-0.049255,-0.022422,0.007375,0.999487
336614653,-0.034193,-0.080891,-0.025392,-0.020860,0.009741,1.001742
336634696,0.088656,-0.027264,0.004030,-0.023728,0.011300,0.999521
336654738,0.012151,-0.019516,0.035525,-0.023902,0.011475,0.998789
336674780,0.111148,0.011103,-0.019303,-0.025117,0.009228,0.999265
336694822,0.102989,0.011152,-0.049898,-0.023945,0.008761,0.999551
336714865,0.133848,-0.027164,0.018833,-0.022683,0.008197,0.999566
336734907,0.041802,-0.065255,0.035117,-0.021160,0.007094,1.000317
336754949,-0.043053,-0.057380,-0.025263,-0.021969,0.007651,1.000305
336774991,-0.104232,-0.019183,-0.039696,-0.023248,0.007779,1.001842
336795034,-0.004703,0.072634,-0.079032,-0.022563,0.009818,0.998546
336815076,-0.065094,-0.103385,0.036719,-0.024598,0.007685,0.999924
336835118,0.049315,-0.041907,-0.041353,-0.024744,0.009296,0.997810
336855160,-0.004263,-0.026525,-0.025319,-0.022311,0.009108,1.000194
336875203,-0.028297,0.027062,-0.147417,-0.022751,0.009182,0.998279
336895245,-0.049246,-0.103058,0.082874,-0.022919,0.011117,1.000347
336915287,0.019332,0.011796,0.020673,-0.023850,0.008750,0.998824
336935329,0.102941,-0.003298,-0.034009,-0.022225,0.007717,0.997937
336955372,0.018527,-0.010939,-0.032919,-0.022953,0.008664,1.000286
336975414,0.004494,-0.011176,0.105212,-0.021084,0.011891,0.998984
336995456,0.057578,0.057676,0.043155,-0.024583,0.008494,0.999277
337015498,-0.066975,0.004344,-0.154740,-0.021975,0.007102,0.999948
337035541,0.073688,0.057390,0.135093,-0.022319,0.008377,0.999839
337055583,0.018600,-0.003667,-0.002610,-0.023091,0.010447,0.997352
337075625,-0.020045,0.118561,-0.047894,-0.024934,0.009504,0.999717
337095668,-0.027060,0.018924,0.013508,-0.022752,0.010771,1.001990
337115710,0.026476,0.003643,0.020446,-0.024867,0.007215,0.998290
337135752,-0.042685,0.064741,-0.032299,-0.025833,0.009220,0.997713
337155794,0.087620,-0.011742,0.004384,-0.024576,0.009134,0.999633
337175836,-0.034599,0.072162,0.044247,-0.022745,0.009823,0.998726
337195879,-0.119651,0.049174,-0.062153,-0.021080,0.006273,1.000055
337215921,-0.004639,0.079592,-0.078579,-0.021476,0.009246,0.997650
337235963,-0.081020,0.056424,-0.062209,-0.021416,0.008186,1.000120
337256005,-0.134224,0.002774,-0.030757,-0.023200,0.009366,0.997910
337276047,0.019058,-0.142158,-0.025040,-0.024871,0.007877,1.000466
337296090,-0.156099,0.048902,0.046276,-0.025403,0.008980,1.000904
337316132,0.089031,-0.035144,0.050779,-0.027002,0.009962,0.997606
337336174,0.103110,-0.011925,-0.064392,-0.026099,0.010519,0.999606
337356216,-0.018247,0.064207,0.067438,-0.025276,0.011055,0.999878
337376259,0.026354,-0.065575,-0.063524,-0.022834,0.010567,1.000081
337396301,0.033921,0.072071,-0.086335,-0.021569,0.009998,0.999642
337416343,0.133880,-0.035054,-0.003168,-0.021116,0.010087,1.000007
337436386,-0.050318,-0.126751,-0.016410,-0.021976,0.007105,1.000221
337456428,-0.026618,-0.004224,0.029497,-0.021082,0.005811,0.999424
337476470,0.011320,-0.004192,-0.009322,-0.022294,0.010102,0.999818
337496512,-0.011453,0.079746,-0.001221,-0.024187,0.011224,1.000156
337516554,-0.011089,-0.073182,0.067399,-0.025393,0.008681,0.998724
337536609,0.011916,-0.019489,0.051801,-0.020790,0.008102,1.001490
337556639,-0.019570,0.072331,-0.047486,-0.023144,0.007659,0.999570
337576681,0.003345,0.018620,-0.055323,-0.022474,0.009075,0.997282
337596724,0.065387,-0.019710,0.043575,-0.022384,0.009355,0.998007
337616766,0.049450,0.018566,-0.009971,-0.022191,0.009982,0.997545
337636808,-0.012297,0.133123,-0.077896,-0.023563,0.010583,1.000532
337656850,-0.034792,0.025807,-0.008615,-0.023124,0.008180,0.997562
337676893,0.003835,0.002887,0.029098,-0.023492,0.008568,0.999192
337696935,-0.012288,0.079298,-0.077894,-0.024391,0.009498,0.999903
337716977,-0.126684,0.048453,-0.038057,-0.023027,0.009287,0.999095
337737019,-0.003429,0.017802,0.029520,-0.022387,0.009453,0.998642
337757061,-0.004046,0.002474,-0.039574,-0.022390,0.009460,0.999188
337777104,-0.118232,-0.028125,0.023162,-0.021036,0.009734,1.000922
337797146,0.087823,0.071422,-0.078791,-0.023693,0.007676,1.000294
337817189,-0.149475,-0.043480,-0.052953,-0.024549,0.011135,0.999882
337837231,0.035084,-0.028048,0.006308,-0.023320,0.008677,1.000921
337857273,0.096222,0.056011,0.005690,-0.024289,0.010222,0.999804
337877315,0.081231,-0.043471,0.067008,-0.023016,0.009545,0.997909
337897357,-0.095839,-0.005155,-0.030501,-0.021969,0.007464,0.999853
337917400,0.050010,0.033082,-0.009187,-0.024771,0.008510,1.000368
337937442,0.050620,-0.096892,0.090220,-0.022104,0.010268,0.998725
337957484,0.065261,-0.081295,0.020869,-0.023474,0.009466,0.998362
337977526,0.003276,-0.065809,-0.039720,-0.023297,0.010031,1.000267
337997568,-0.141487,-0.035177,0.023422,-0.025003,0.010301,0.997978
338017611,0.003849,-0.126591,-0.016775,-0.024497,0.008129,0.999191
338037653,-0.102647,0.056811,0.038404,-0.024298,0.009399,0.999359
338057695,0.011692,0.041515,-0.032006,-0.022745,0.009823,0.998726
338077738,0.057279,0.133158,-0.086055,-0.021685,0.008277,0.999844
338097780,0.095278,0.002923,-0.078731,-0.023413,0.008683,1.001284
338117822,0.065963,-0.004856,0.090359,-0.023291,0.010206,0.999719
338137864,-0.095416,-0.012511,0.046077,-0.021962,0.008570,1.001204
338157907,0.019213,-0.073460,-0.001466,-0.023780,0.008044,1.000562
338177949,-0.050250,0.049030,-0.077103,-0.024769,0.008040,0.999009
338197991,0.118073,-0.103829,-0.063735,-0.023771,0.008773,1.000735
338218033,0.004258,-0.119008,0.060320,-0.022317,0.008001,0.998752
338238076,-0.080359,-0.049966,0.022901,-0.023967,0.007217,0.999570
338258118,0.004198,-0.019249,0.021836,-0.022038,0.008449,0.998657
338278160,0.019143,-0.019173,-0.008932,-0.024127,0.009138,1.000455
338298203,0.034513,0.026680,-0.001413,-0.022756,0.009937,1.000636
338318245,-0.049999,0.118226,-0.038583,-0.022609,0.007669,1.001029
338338287,0.034453,-0.011887,-0.009026,-0.025393,0.008960,0.999266
338358329,-0.057011,0.049169,0.022834,-0.023277,0.010459,0.998078
338378372,-0.026704,0.033878,-0.015905,-0.021690,0.007540,0.998944
338398414,-0.010976,0.041333,0.022218,-0.026203,0.008773,0.997807
338418456,0.011252,-0.012111,-0.054715,-0.024300,0.009683,1.000265
338438498,-0.095305,0.094701,0.000445,-0.024749,0.009307,0.998720
338458541,-0.048408,-0.050735,0.099324,-0.021487,0.009362,0.999650
338478583,-0.017806,0.033513,0.075703,-0.023295,0.009375,0.998547
338498625,0.142166,0.025868,-0.002973,-0.022221,0.008081,0.998023
338518667,-0.041929,0.010520,-0.016114,-0.023465,0.010569,0.999440
338538710,0.004003,0.048675,-0.031961,-0.022766,0.009490,1.001187
338558752,-0.010923,-0.043095,0.029604,-0.024465,0.010494,0.999526
338578794,-0.010897,-0.081211,0.037112,-0.023554,0.010754,0.999620
338598837,-0.079854,0.056487,-0.007997,-0.023376,0.010944,1.000528
338618879,-0.047829,-0.050762,0.144777,-0.022467,0.010927,1.000261
338638921,0.058616,-0.103936,0.058808,-0.022581,0.008920,0.999376
338658963,0.020222,-0.019676,0.059201,-0.023420,0.007297,0.999299
338679005,0.065421,-0.065339,-0.010482,-0.023222,0.008101,0.998472
338699048,-0.041662,0.018726,-0.001387,-0.022744,0.010008,0.998997
338719090,0.065064,0.049364,-0.056241,-0.024288,0.010126,0.999350
338739132,-0.079426,0.049094,0.052749,-0.024119,0.009401,0.999724
338759174,-0.103220,0.048997,-0.061892,-0.022112,0.009911,0.999275
338779217,-0.087124,0.018246,-0.000629,-0.023186,0.010923,0.999074
338799259,-0.010798,0.018359,-0.039948,-0.022751,0.009927,0.999817
338819301,0.059150,0.064032,0.074289,-0.022012,0.009984,0.997910
338839344,0.028161,-0.020090,0.051402,-0.023305,0.008647,0.998464
338859386,0.027598,-0.042892,0.005293,-0.021952,0.009203,1.001014
338879428,0.035539,0.002991,0.035848,-0.023412,0.008775,1.001374
338899470,0.034657,-0.058048,-0.040823,-0.023569,0.010316,1.000899
338919513,0.065443,0.018460,-0.018014,-0.024456,0.011128,0.999427
338939555,-0.133401,0.018182,0.007348,-0.021931,0.009816,0.999096
338959597,0.072717,0.026119,-0.087018,-0.021595,0.008091,0.999574
338979639,0.035657,0.002829,0.082087,-0.023042,0.008849,1.000466
338999681,-0.110766,0.002952,-0.023596,-0.023223,0.008478,0.999559
339019724,-0.088226,0.048896,-0.123280,-0.023043,0.008290,0.999290
339039766,0.058442,-0.058186,0.020603,-0.023653,0.009744,0.998631
339059808,-0.002100,0.040964,0.098026,-0.022577,0.008632,0.998105
339079851,-0.057128,0.056375,-0.077814,-0.022052,0.007357,0.998397
339099893,-0.033057,0.025611,0.037090,-0.023761,0.008286,0.998102
339119935,0.019612,0.010333,-0.063315,-0.023123,0.009298,0.999913
339139977,-0.010834,-0.050764,-0.039815,-0.023587,0.008485,0.999739
339160020,0.013035,-0.119406,0.074792,-0.023021,0.010580,1.000899
339180062,0.011748,0.148289,-0.101206,-0.024188,0.010667,0.999162
339200104,0.089228,-0.043149,0.035765,-0.023200,0.010299,0.999991
339220146,-0.094328,0.056183,0.053300,-0.022930,0.010393,1.000538
339240189,0.059047,0.017859,0.066572,-0.022641,0.010169,0.997449
339260231,0.020626,-0.050905,0.082083,-0.023253,0.012279,0.998420
339280273,-0.010587,-0.127112,0.036246,-0.023007,0.009900,0.997268
339300315,-0.055550,-0.065845,0.121047,-0.025298,0.009324,0.999444
339320358,-0.025874,-0.012073,-0.002182,-0.021942,0.008904,0.998834
339340400,0.089457,0.018592,0.050175,-0.023747,0.009564,0.998632
