Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
336395523,-0.201036,0.211120,0.018261
336445467,-0.210135,0.210921,0.007892
336495401,-0.200903,0.210814,0.007643
336545334,-0.210264,0.211232,0.017887
336595276,-0.219575,0.220777,0.028136
336645215,-0.219547,0.202210,0.018435
336695159,-0.219494,0.211341,0.017822
336745092,-0.210397,0.211538,0.028504
336795039,-0.200804,0.229070,0.007351
336844980,-0.200955,0.201683,0.008051
336894921,-0.210319,0.202099,0.018706
336944859,-0.210267,0.211229,0.018300
336994800,-0.210266,0.211230,0.018197
337044735,-0.210529,0.211845,0.039115
337094677,-0.210183,0.201794,0.007776
337144613,-0.210186,0.201792,0.008090
337194549,-0.210315,0.202101,0.018293
337244484,-0.200986,0.220249,0.018062
337294423,-0.210317,0.202100,0.018499
337344361,-0.210348,0.220665,0.028506
337394295,-0.210397,0.211538,0.028504
337444233,-0.200902,0.210814,0.007538
337494174,-0.210184,0.201793,0.007881
337544106,-0.219678,0.202518,0.028742
337594049,-0.210263,0.211232,0.017784
337643988,-0.219493,0.211342,0.017719
337693931,-0.210264,0.211231,0.017990
337743871,-0.210185,0.201793,0.007986
337793819,-0.228776,0.202320,0.018267
337843761,-0.210264,0.211231,0.017990
337893708,-0.210266,0.211230,0.018197
337943653,-0.210214,0.220360,0.017790
337993588,-0.210265,0.211230,0.018093
338043528,-0.210398,0.211537,0.028707
338093465,-0.210267,0.211229,0.018300
338143403,-0.210264,0.211231,0.017990
338193338,-0.210446,0.202410,0.028604
338243274,-0.210212,0.220362,0.017481
338293222,-0.210446,0.202410,0.028604
338343170,-0.219393,0.229598,0.017526
338393123,-0.210449,0.202408,0.029010
338443076,-0.219496,0.211339,0.018132
338493027,-0.210369,0.192971,0.018906
338542977,-0.210185,0.201793,0.007986
338592932,-0.219810,0.202825,0.039253
338642877,-0.210317,0.202100,0.018499
338692831,-0.210134,0.210923,0.007683
338742777,-0.201034,0.211121,0.018055
338792725,-0.210265,0.211230,0.018093
338842665,-0.219445,0.220469,0.017829
338892604,-0.200904,0.210813,0.007748
338942538,-0.210187,0.201792,0.008300
338992479,-0.191674,0.210703,0.007813
339042422,-0.201034,0.211121,0.018055
339092366,-0.210315,0.202101,0.018293
339142302,-0.210135,0.210922,0.007787
339192243,-0.219364,0.211031,0.007723
339242180,-0.210134,0.210923,0.007683
339292119,-0.201035,0.211121,0.018158
339342052,-0.210083,0.220052,0.007380
