Timestamp (us),W,X,Y,Z
336374146,0.384079,0.012527,0.000255,-0.923347
336394189,0.384088,0.012520,0.000282,-0.923343
336414231,0.384191,0.012491,0.000263,-0.923301
336434273,0.384288,0.012494,0.000280,-0.923261
336454315,0.384352,0.012481,0.000277,-0.923234
336474357,0.384336,0.012499,0.000286,-0.923240
336494400,0.384330,0.012522,0.000284,-0.923243
336514442,0.384410,0.012541,0.000288,-0.923209
336534484,0.384517,0.012534,0.000299,-0.923165
336554526,0.384566,0.012518,0.000301,-0.923144
336574569,0.384569,0.012484,0.000322,-0.923143
336594611,0.384556,0.012474,0.000320,-0.923149
336614653,0.384550,0.012448,0.000312,-0.923152
336634696,0.384548,0.012457,0.000286,-0.923152
336654738,0.384450,0.012462,0.000272,-0.923193
336674780,0.384243,0.012481,0.000255,-0.923279
336694822,0.384032,0.012492,0.000240,-0.923367
336714865,0.383937,0.012492,0.000218,-0.923406
336734907,0.383846,0.012471,0.000211,-0.923445
336754949,0.383796,0.012451,0.000219,-0.923466
336774991,0.383795,0.012438,0.000241,-0.923466
336795034,0.383789,0.012448,0.000242,-0.923469
336815076,0.384087,0.012431,0.000259,-0.923345
336835118,0.384369,0.012435,0.000254,-0.923227
336855160,0.384468,0.012427,0.000253,-0.923186
336875203,0.384436,0.012428,0.000258,-0.923200
336895245,0.384429,0.012411,0.000249,-0.923203
336915287,0.384326,0.012417,0.000248,-0.923246
336935329,0.384215,0.012417,0.000235,-0.923292
336955372,0.384169,0.012415,0.000232,-0.923311
336975414,0.384185,0.012410,0.000214,-0.923304
336995456,0.384190,0.012429,0.000214,-0.923302
337015498,0.384163,0.012416,0.000233,-0.923313
337035541,0.384183,0.012425,0.000226,-0.923305
337055583,0.384185,0.012428,0.000217,-0.923304
337075625,0.384183,0.012455,0.000230,-0.923305
337095668,0.384176,0.012457,0.000227,-0.923307
337115710,0.384072,0.012464,0.000234,-0.923351
337135752,0.383960,0.012484,0.000249,-0.923397
337155794,0.383855,0.012494,0.000235,-0.923440
337175836,0.383758,0.012503,0.000240,-0.923481
337195879,0.383645,0.012487,0.000270,-0.923528
337215921,0.383534,0.012492,0.000271,-0.923574
337235963,0.383427,0.012485,0.000287,-0.923619
337256005,0.383515,0.012477,0.000308,-0.923582
337276047,0.383716,0.012461,0.000307,-0.923499
337296090,0.383889,0.012468,0.000341,-0.923427
337316132,0.383796,0.012488,0.000326,-0.923465
337336174,0.383685,0.012509,0.000305,-0.923511
337356216,0.383724,0.012531,0.000307,-0.923494
337376259,0.383819,0.012522,0.000292,-0.923455
337396301,0.383896,0.012530,0.000285,-0.923423
337416343,0.383900,0.012525,0.000253,-0.923421
337436386,0.383902,0.012491,0.000259,-0.923421
337456428,0.383971,0.012472,0.000275,-0.923392
337476470,0.384069,0.012470,0.000268,-0.923352
337496512,0.384142,0.012490,0.000268,-0.923321
337516554,0.384045,0.012487,0.000269,-0.923362
337536609,0.383947,0.012471,0.000264,-0.923403
337556639,0.383766,0.012478,0.000277,-0.923478
337576681,0.383564,0.012478,0.000273,-0.923562
337596724,0.383428,0.012476,0.000256,-0.923618
337616766,0.383432,0.012480,0.000244,-0.923616
337636808,0.383425,0.012505,0.000249,-0.923619
337656850,0.383356,0.012504,0.000259,-0.923647
337676893,0.383270,0.012505,0.000260,-0.923683
